,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
467,"Fátima, Fortaleza",Avenida Visconde do Rio Branco,"Apartamento para comprar 
Fátima, Fortaleza",61,2,2,1,R$ 554.000,0,Fátima, Fortaleza
468,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Caio Cid,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",60,2,2,1,R$ 626.000,IPTU R$ 70,Engenheiro Luciano Cavalcante, Fortaleza
469,"Parque Iracema, Fortaleza",Rua 3,"Apartamento para comprar 
Parque Iracema, Fortaleza",86,2,3,2,R$ 799.000,Cond. R$ 693,Parque Iracema, Fortaleza
470,"Edson Queiroz, Fortaleza",Rua Afonso Pena,"Apartamento para comprar 
Edson Queiroz, Fortaleza",271,3,5,3,R$ 990.000,Cond. R$ 2.000,Edson Queiroz, Fortaleza
471,"Cambeba, Fortaleza",Rua do Anjo Branco,"Apartamento para comprar 
Cambeba, Fortaleza",76,3,3,2,R$ 610.000,Cond. R$ 600 • IPTU R$ 1.500,Cambeba, Fortaleza
472,"Parreão, Fortaleza",Rua Jorge Acúrcio,"Casa para comprar 
Parreão, Fortaleza",190,3,3,4,R$ 1.200.000,IPTU R$ 1.204,Parreão, Fortaleza
473,"Papicu, Fortaleza",Rua Fausto Cabral,"Apartamento para comprar 
Papicu, Fortaleza",110,3,4,1,R$ 320.000,Cond. R$ 900 • IPTU R$ 637,Papicu, Fortaleza
474,"Centro, Fortaleza",Rua Pero Coelho,"Casa para comprar 
Centro, Fortaleza",210,5,4,2,R$ 565.000,0,Centro, Fortaleza
475,"Aldeota, Fortaleza",Rua Tibúrcio Cavalcanti,"Apartamento para comprar 
Aldeota, Fortaleza",120,3,5,3,R$ 1.160.000,Cond. R$ 1.100,Aldeota, Fortaleza
476,"Mucuripe, Fortaleza",Rua da Paz,"Apartamento para comprar 
Mucuripe, Fortaleza",45,1,1,1,R$ 671.297,Cond. R$ 300 • IPTU R$ 150,Mucuripe, Fortaleza
477,"Sapiranga-Coité, Fortaleza",Rua Edgard Rodrigues Nogueira,"Casa para comprar 
Sapiranga-Coité, Fortaleza",150,4,1,2,R$ 590.000,Cond. R$ 300,Sapiranga-Coité, Fortaleza
478,"Meireles, Fortaleza",Rua Canuto de Aguiar,"Apartamento para comprar 
Meireles, Fortaleza",230,4,5,4,R$ 3.499.000,0,Meireles, Fortaleza
479,"Guararapes, Fortaleza",Rua Doutor Márlio Fernandes,"Apartamento para comprar 
Guararapes, Fortaleza",170,4,3,3,R$ 2.399.000,Cond. R$ 1.859 • IPTU R$ 5.010,Guararapes, Fortaleza
480,"Parque Iracema, Fortaleza",Rua Leão Veloso,"Apartamento para comprar 
Parque Iracema, Fortaleza",101,3,2,2,R$ 848.000,0,Parque Iracema, Fortaleza
