,endereco,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,rua,bairro,cidade,estado,preco p/ m²,endereco_geo,latitude,longitude,preco_bin,Regional,IDH-Educação,IDH-Longevidade,IDH-Renda,IDH
3752,"Rodovia Quarto Anel Viário, 106 - Ancuri, Fortaleza - CE","Casa com 2 Quartos à Venda, 89m²",89.0,2,2,2,190000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2134.8314606741574,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3753,"Rodovia Quarto Anel Viário, 211 - Ancuri, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 60m²",60.0,2,2,1,161000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2683.333333333333,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3754,"Rodovia Quarto Anel Viário, 21 - Ancuri, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 55m²",55.0,2,2,1,160000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2909.090909090909,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3755,"Rodovia Quarto Anel Viário, 210 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 86m²",86.0,3,2,2,195000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2267.4418604651164,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3756,"Rodovia Quarto Anel Viário, 430 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 90m²",90.0,3,2,2,210000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2333.333333333333,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3757,"Rodovia Quarto Anel Viário, 521 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 90m²",90.0,3,2,2,210000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,2333.333333333333,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3758,"Avenida Dionísio Leonel Alencar, 32 - Ancuri, Fortaleza - CE","Casa com 3 Quartos à Venda, 90m²",90.0,3,2,2,220000.0,0.0,Avenida Dionísio Leonel Alencar,Ancuri,Fortaleza,CE,2444.4444444444443,"Avenida Dionísio Leonel Alencar, Santa Fé, Jangurussu, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60874-185, Brasil",-3.860261638178369,-38.512930504110656,1500-3000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3759,"Rodovia Quarto Anel Viário, 31 - Ancuri, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 52m²",52.0,2,1,1,158000.0,0.0,Rodovia Quarto Anel Viário,Ancuri,Fortaleza,CE,3038.4615384615386,"Rodovia Quarto Anel Viário, Ancuri, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60873-845, Brasil",-3.87107895,-38.4998266,3001-5000,6,0.8878542510121458,0.1886326194398682,0.0509284300454055,0.204317823767286
3760,"Rua Monte Líbano, 946 - Mondubim, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 44m²",44.0,2,1,1,70000.0,400.0,Rua Monte Líbano,Mondubim,Fortaleza,CE,1590.909090909091,"946, Rua Monte Líbano, Mondubim, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60762-376, Brasil",-3.828274,-38.5647408,1500-3000,5,0.9473684210526316,0.1746293245469522,0.0762537679553488,0.2327907907886917
3761,"Rua Coronel de Queiroz, 620 - Prefeito José Walter, Fortaleza - CE","Apartamento com 2 Quartos à Venda, 55m²",55.0,2,2,2,110000.0,350.0,Rua Coronel de Queiroz,Prefeito José Walter,Fortaleza,CE,2000.0,"Rua Coronel de Queiroz, Cidade Nova, Planalto Ayrton Senna, Fortaleza, Região Geográfica Imediata de Fortaleza, Região Geográfica Intermediária de Fortaleza, Ceará, Região Nordeste, 60760-415, Brasil",-3.834812641782584,-38.565886890432914,1500-3000,5,0.965587044534413,0.5889621087314663,0.1085931309918164,0.3952698722775042
