,bairro/cidade,rua,legenda,area m²,Quartos,banheiros,vagas,preço,condominio,bairro,cidade
911,"Mondubim, Fortaleza",Rua Monte Líbano,"Apartamento para comprar 
Mondubim, Fortaleza",44.0,2,1,1,65000.0,420.0,Mondubim, Fortaleza
912,"Edson Queiroz, Fortaleza",Rua Governador Manoel de Castro Filho,"Apartamento para comprar 
Edson Queiroz, Fortaleza",81.0,3,4,2,670000.0,640.0,Edson Queiroz, Fortaleza
914,"Aldeota, Fortaleza",Rua Joaquim Nabuco,"Apartamento para comprar 
Aldeota, Fortaleza",126.0,3,3,2,660000.0,1300.0,Aldeota, Fortaleza
915,"Messejana, Fortaleza",Rua Joaquim Felício,"Casa para comprar 
Messejana, Fortaleza",240.0,3,4,2,3500000.0,0.0,Messejana, Fortaleza
916,"Meireles, Fortaleza",Avenida Rui Barbosa,"Apartamento para comprar 
Meireles, Fortaleza",39.0,1,1,2,465000.0,0.0,Meireles, Fortaleza
917,"Papicu, Fortaleza",Rua José Rangel,"Apartamento para comprar 
Papicu, Fortaleza",55.0,2,2,2,480000.0,475.0,Papicu, Fortaleza
918,"Paupina, Fortaleza",Rua do Murará,"Apartamento para comprar 
Paupina, Fortaleza",49.0,2,2,1,165000.0,282.0,Paupina, Fortaleza
920,"Praia do Futuro II, Fortaleza",Rua Antônio Atualpa Rodrigues,"Apartamento para comprar 
Praia do Futuro II, Fortaleza",35.0,1,1,1,410000.0,565.0,Praia do Futuro II, Fortaleza
921,"Aldeota, Fortaleza",Rua Antônio de Pádua Neves Júnior,"Apartamento para comprar 
Aldeota, Fortaleza",202.0,4,5,4,2090000.0,1650.0,Aldeota, Fortaleza
924,"Dionisio Torres, Fortaleza",Rua Visconde de Mauá,"Apartamento para comprar 
Dionisio Torres, Fortaleza",70.0,3,2,1,550000.0,800.0,Dionisio Torres, Fortaleza
925,"Mucuripe, Fortaleza",Avenida Beira Mar,"Apartamento para comprar 
Mucuripe, Fortaleza",300.0,3,4,4,3500000.0,4900.0,Mucuripe, Fortaleza
926,"Pedras, Fortaleza",Rua Quartzo,"Apartamento para comprar 
Pedras, Fortaleza",50.0,2,1,1,143000.0,0.0,Pedras, Fortaleza
928,"Meireles, Fortaleza",Rua Silva Jatahy,"Apartamento para comprar 
Meireles, Fortaleza",208.0,3,4,2,2563861.0,0.0,Meireles, Fortaleza
929,"Guararapes, Fortaleza",Rua Cláudio Manuel Dias Leite,"Apartamento para comprar 
Guararapes, Fortaleza",90.0,2,3,2,802000.0,850.0,Guararapes, Fortaleza
930,"Cocó, Fortaleza",Rua Professor Francisco Gonçalves,"Apartamento para comprar 
Cocó, Fortaleza",99.0,4,4,2,955000.0,840.0,Cocó, Fortaleza
931,"Praia do Futuro I, Fortaleza",Rua Francisco Teixeira de Alcântara,"Casa para comprar 
Praia do Futuro I, Fortaleza",252.0,3,3,5,620000.0,0.0,Praia do Futuro I, Fortaleza
932,"Engenheiro Luciano Cavalcante, Fortaleza",Rua Caio Cid,"Apartamento para comprar 
Engenheiro Luciano Cavalcante, Fortaleza",124.0,4,4,3,1550000.0,999.0,Engenheiro Luciano Cavalcante, Fortaleza
933,"Pedras, Fortaleza",Avenida Dionísio Alencar,"Apartamento para comprar 
Pedras, Fortaleza",47.0,2,1,1,173000.0,0.0,Pedras, Fortaleza
934,"Centro, Fortaleza",Rua João Cordeiro,"Apartamento para comprar 
Centro, Fortaleza",43.0,1,1,1,425000.0,273.0,Centro, Fortaleza
935,"Presidente Kennedy, Fortaleza",Avenida Cearenses,"Apartamento para comprar 
Presidente Kennedy, Fortaleza",53.0,2,2,300,411000.0,10.0,Presidente Kennedy, Fortaleza
936,"Manoel Dias Branco, Fortaleza",Rua Andrade Furtado,"Apartamento para comprar 
Manoel Dias Branco, Fortaleza",68.0,3,3,2,430000.0,0.0,Manoel Dias Branco, Fortaleza
937,"Lagoa Redonda, Fortaleza",Rua Lourdes Vidal Alves,"Casa para comprar 
Lagoa Redonda, Fortaleza",86.0,3,3,2,450000.0,500.0,Lagoa Redonda, Fortaleza
938,"Parque Iracema, Fortaleza",Rua José Ribamar Soares Aguiar,"Apartamento para comprar 
Parque Iracema, Fortaleza",87.0,3,2,2,650000.0,766.0,Parque Iracema, Fortaleza
939,"Fátima, Fortaleza",Avenida dos Expedicionários,"Apartamento para comprar 
Fátima, Fortaleza",88.0,3,2,2,860000.0,690.0,Fátima, Fortaleza
940,"Meireles, Fortaleza",Avenida Rui Barbosa,"Apartamento para comprar 
Meireles, Fortaleza",386.0,5,6,6,9800000.0,0.0,Meireles, Fortaleza
941,"Sapiranga-Coité, Fortaleza",Rua Coronel Olegário Memória,"Apartamento para comprar 
Sapiranga-Coité, Fortaleza",44.0,2,1,1,164900.0,250.0,Sapiranga-Coité, Fortaleza
942,"Dendê, Fortaleza",Rua B,"Apartamento para comprar 
Dendê, Fortaleza",45.0,2,1,1,130000.0,350.0,Dendê, Fortaleza
